event_type,amount,ip_address,is_fraud,tx_count_1h,amount_avg_1h,amount_vs_avg,hour_of_day
LOGIN,0.00,172.16.83.213,0,1,0.000000,0.0,16
VIEW_BALANCE,0.00,172.16.83.213,0,2,0.000000,0.0,16
WITHDRAW,3660871.15,172.16.83.213,0,3,1220290.383333,3.0000000000008193,16
LOGOUT,0.00,172.16.83.213,0,4,915217.787500,0.0,16
LOGIN,0.00,172.16.55.205,0,1,0.000000,0.0,0
VIEW_BALANCE,0.00,172.16.55.205,0,2,0.000000,0.0,0
WITHDRAW,1186498.07,172.16.55.205,0,3,395499.356667,2.999999999997472,0
LOGOUT,0.00,172.16.55.205,0,4,296624.517500,0.0,0
LOGIN,0.00,172.16.78.181,0,1,0.000000,0.0,1
VIEW_BALANCE,0.00,172.16.78.181,0,2,0.000000,0.0,1
TRANSFER,8807433.39,172.16.78.181,0,3,2935811.130000,3.0,1
LOGOUT,0.00,172.16.78.181,0,4,2201858.347500,0.0,1
LOGIN,0.00,172.16.146.96,0,1,0.000000,0.0,11
VIEW_BALANCE,0.00,172.16.146.96,0,2,0.000000,0.0,11
WITHDRAW,241982.13,172.16.146.96,0,3,80660.710000,3.0,11
LOGOUT,0.00,172.16.146.96,0,4,60495.532500,0.0,11
LOGIN,0.00,172.16.102.98,0,5,48396.426000,0.0,12
VIEW_BALANCE,0.00,172.16.102.98,0,6,40330.355000,0.0,12
TRANSFER,8750539.80,172.16.102.98,0,7,1284645.990000,6.811635164953109,12
LOGOUT,0.00,172.16.102.98,0,8,1124065.241250,0.0,12
LOGIN,0.00,172.16.21.242,0,1,0.000000,0.0,15
VIEW_BALANCE,0.00,172.16.21.242,0,2,0.000000,0.0,15
WITHDRAW,3318803.06,172.16.21.242,0,3,1106267.686667,2.9999999999990963,15
LOGOUT,0.00,172.16.21.242,0,4,829700.765000,0.0,15
LOGIN,0.00,172.16.133.188,0,1,0.000000,0.0,22
VIEW_BALANCE,0.00,172.16.133.188,0,2,0.000000,0.0,22
WITHDRAW,4458814.07,172.16.133.188,0,3,1486271.356667,2.999999999999327,22
LOGOUT,0.00,172.16.133.188,0,4,1114703.517500,0.0,22
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,15
LOGIN_FAILED,0.00,203.0.113.42,1,2,0.000000,0.0,15
LOGIN_FAILED,0.00,203.0.113.42,1,3,0.000000,0.0,15
LOGIN_FAILED,0.00,203.0.113.42,1,4,0.000000,0.0,15
LOGIN_SUCCESS,0.00,203.0.113.42,1,5,0.000000,0.0,15
TRANSFER,451535580.06,203.0.113.42,1,6,75255930.010000,6.0,15
LOGOUT,0.00,203.0.113.42,1,7,64505082.865714,0.0,15
LOGIN,0.00,172.16.45.207,0,1,0.000000,0.0,16
VIEW_BALANCE,0.00,172.16.45.207,0,2,0.000000,0.0,16
WITHDRAW,534045.99,172.16.45.207,0,3,178015.330000,3.0,16
LOGOUT,0.00,172.16.45.207,0,4,133511.497500,0.0,16
LOGIN,0.00,172.16.134.231,0,5,106809.198000,0.0,17
VIEW_BALANCE,0.00,172.16.134.231,0,6,89007.665000,0.0,17
WITHDRAW,1245116.57,172.16.134.231,0,7,254166.080000,4.898830599268006,17
LOGOUT,0.00,172.16.134.231,0,8,222395.320000,0.0,17
LOGIN,0.00,172.16.201.30,0,1,0.000000,0.0,14
VIEW_BALANCE,0.00,172.16.201.30,0,2,0.000000,0.0,14
WITHDRAW,3247208.98,172.16.201.30,0,3,1082402.993333,3.0000000000009237,14
LOGOUT,0.00,172.16.201.30,0,4,811802.245000,0.0,14
LOGIN,0.00,172.16.58.157,0,1,0.000000,0.0,17
VIEW_BALANCE,0.00,172.16.58.157,0,2,0.000000,0.0,17
WITHDRAW,3540684.37,172.16.58.157,0,3,1180228.123333,3.0000000000008473,17
LOGOUT,0.00,172.16.58.157,0,4,885171.092500,0.0,17
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,23
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,23
LOGIN_SUCCESS,0.00,192.168.1.99,1,3,0.000000,0.0,23
TRANSFER,50000.00,192.168.1.99,1,4,12500.000000,4.0,23
LOGOUT,0.00,192.168.1.99,1,5,10000.000000,0.0,23
LOGIN,0.00,172.16.50.170,0,1,0.000000,0.0,3
VIEW_BALANCE,0.00,172.16.50.170,0,2,0.000000,0.0,3
TRANSFER,15781963.75,172.16.50.170,0,3,5260654.583333,3.00000000000019,3
LOGOUT,0.00,172.16.50.170,0,4,3945490.937500,0.0,3
LOGIN,0.00,172.16.205.223,0,1,0.000000,0.0,22
VIEW_BALANCE,0.00,172.16.205.223,0,2,0.000000,0.0,22
